address,size,price
15A E Ruby Ave # A, Palisades Park, NJ07650,3 beds, 4.5 baths,$3,500/mo
130 E Edsall Ave, Palisades Park, NJ07650,4 beds, 2 baths, 1,119 sqft,$395,000
201 12th St APT 18, Palisades Park, NJ07650,Studio, 1 bath,$119,500
146 Morningside Ln UNIT B, Palisades Park, NJ07650,3 beds, 4 baths,$735,000
146 Morningside Ln UNIT A, Palisades Park, NJ07650,3 beds, 4 baths,$735,000
268 Roff Ave, Palisades Park, NJ07650,1 bed, 1 bath, 1,900 sqft,$1,000/mo
224 E Central Blvd, Palisades Park, NJ07650,5 beds, 3 baths, 2,432 sqft,$439,000
600 12th St APT 610, Palisades Park, NJ07650,2 beds, 2 baths, 1,416 sqft,$495,000
505 Windsor Dr, Palisades Park, NJ07650,2 beds, 2 baths,$369,000
600 12th St APT 608, Palisades Park, NJ07650,2 beds, 2 baths, 1,126 sqft,$435,000
34 W Ruby Ave # A, Palisades Park, NJ07650,4 beds, 3.5 baths, 2,100 sqft,$699,000
451 2nd St # 2, Palisades Park, NJ07650,2 beds, 1 bath,$1,375/mo
223 Grantwood Blvd, Palisades Park, NJ07650,3 beds, 2.5 baths, 1,548 sqft,$449,000
459 Borough Ln, Palisades Park, NJ07650,Studio, 2,500 sqft,$525,000
427-431 Broad Ave # 1B, Palisades Park, NJ07650,Studio, 1 bath,$990/mo
304 Roff Ave, Palisades Park, NJ07650,4 beds, 2.5 baths, 2,388 sqft,$699,000
270 11th Street # FL 2ND, Palisades Park, NJ07650,2 beds, 1 bath,$1,395/mo
112 Temple Terrace # FL 1ST, Palisades Park, NJ07650,3 beds, 2 baths,$2,495/mo
131 Roff Ave # A, Palisades Park, NJ07650,3 beds, 2.5 baths,$2,795/mo
464 7th St, Palisades Park, NJ07650,3 beds, 3 baths, 1,320 sqft,$575,000
119A E Ruby Ave # A, Palisades Park, NJ07650,3 beds, 3.5 baths,$499,000
24 Brinkerhoff Ter, Palisades Park, NJ07650,3 beds, 1 bath, 1,915 sqft,$379,000
445A 1st St # A, Palisades Park, NJ07650,3 beds, 3.5 baths, 2,240 sqft,$699,000
46 W Central Blvd, Palisades Park, NJ07650,6 beds, 6 baths, 3,960 sqft,$1,195,000
26 Mark Ln, New City, NY10956,3 beds, 1.1 baths, 1,506 sqft,$350,000
8 Butternut Dr, New City, NY10956,3 beds, 2 baths, 1,610 sqft,$269,000
3 Wagon Wheel Dr, New City, NY10956,5 beds, 3.1 baths, 2,752 sqft,$525,000
33 Heritage Dr APT I, New City, NY10956,3 beds, 2.5 baths, 1,270 sqft,$2,500/mo
151 Trails End, New City, NY10956,4 beds, 2.1 baths, 2,620 sqft,$569,000
1 Pippen Pl, New City, NY10956,4 beds, 2.1 baths, 2,414 sqft,$560,000
15 Sandstone Trl, New City, NY10956,4 beds, 3 baths, 3,442 sqft,$550,000
299 W Clarkstown Rd, New City, NY10956,4 beds, 2.1 baths, 2,092 sqft,$369,900
5 Briarcliff Rd, New City, NY10956,5 beds, 2.5 baths, 3,100 sqft,$2,900/mo
8 Summit Ave, New City, NY10956,3 beds, 1 bath, 1,427 sqft,$324,900
15 Heritage Dr APT E, New City, NY10956,3 beds, 2 baths, 1,185 sqft,$259,900
80 New Hempstead Rd, New City, NY10956,3 beds, 2 baths, 1,362 sqft,$345,000
5 Baylor Rd, New City, NY10956,4 beds, 3 baths, 2,391 sqft,$564,900
145 S Main St, New City, NY10956,1 bed, 1 bath,$1,300/mo
2 Stark Ct, New City, NY10956,5 beds, 2.1 baths, 3,236 sqft,$519,900
224 N Main St, New City, NY10956,Studio, 1,100 sqft,N/A
99 New Hempstead Rd, New City, NY10956,2 beds, 2 baths, 1,620 sqft,$2,200/mo
69 New Valley Rd # A, New City, NY10956,4 beds, 3 baths, 1,906 sqft,$449,000
12 Edgebrook Ct, New City, NY10956,4 beds, 3 baths, 2,875 sqft,$639,000
5 Stetson Ct, New City, NY10956,4 beds, 1 bath, 2,360 sqft,$409,500
3 Norlen Ln, New City, NY10956,3 beds, 2 baths, 1,377 sqft,from $90K
17 Lindbergh Ln, New City, NY10956,1 bed, 1 bath, 600 sqft,$1,375/mo
109 Brewery Rd, New City, NY10956,3 beds, 2 baths, 2,127 sqft,$429,000
24 Cypress St, New City, NY10956,4 beds, 2.5 baths, 1,964 sqft,$420,000
6 James St, New City, NY10956,4 beds, 2 baths, 1,547 sqft,$349,900
